10,10,86.0
10,50,187.0
10,75,251.0
10,100,314.0
10,150,438.0
10,200,557.0
10,250,674.0
50,10,89.0
50,50,189.0
50,75,253.0
50,100,317.0
50,150,440.0
50,200,560.0
50,250,676.0
75,10,90.0
75,50,190.0
75,75,254.0
75,100,317.0
75,150,440.0
75,200,560.0
75,250,676.0
100,10,90.0
100,50,190.0
100,75,254.0
100,100,317.0
100,150,440.0
100,200,561.0
100,250,678.0
150,10,90.0
150,50,191.0
150,75,255.0
150,100,320.0
150,150,444.0
150,200,564.0
150,250,681.0
200,10,92.0
200,50,194.0
200,75,258.0
200,100,321.0
200,150,445.0
200,200,566.0
200,250,682.0
250,10,93.0
250,50,195.0
250,75,260.0
250,100,323.0
250,150,448.0
250,200,568.0
250,250,685.0
