10,10,28.0
10,50,104.0
10,75,153.0
10,100,200.0
10,150,292.0
10,200,383.0
10,250,470.0
50,10,91.0
50,50,167.0
50,75,214.0
50,100,262.0
50,150,355.0
50,200,445.0
50,250,533.0
75,10,129.0
75,50,205.0
75,75,253.0
75,100,301.0
75,150,393.0
75,200,482.0
75,250,570.0
100,10,167.0
100,50,243.0
100,75,290.0
100,100,338.0
100,150,430.0
100,200,520.0
100,250,608.0
150,10,243.0
150,50,320.0
150,75,367.0
150,100,414.0
150,150,507.0
150,200,596.0
150,250,684.0
200,10,318.0
200,50,394.0
200,75,441.0
200,100,489.0
200,150,581.0
200,200,671.0
200,250,758.0
250,10,392.0
250,50,467.0
250,75,514.0
250,100,562.0
250,150,653.0
250,200,743.0
250,250,830.0
