10,10,32.0
10,50,107.0
10,75,155.0
10,100,201.0
10,150,292.0
10,200,379.0
10,250,465.0
50,10,76.0
50,50,152.0
50,75,199.0
50,100,245.0
50,150,336.0
50,200,423.0
50,250,508.0
75,10,104.0
75,50,179.0
75,75,227.0
75,100,273.0
75,150,364.0
75,200,452.0
75,250,356.0
100,10,132.0
100,50,207.0
100,75,255.0
100,100,300.0
100,150,392.0
100,200,479.0
100,250,564.0
150,10,186.0
150,50,262.0
150,75,308.0
150,100,354.0
150,150,445.0
150,200,532.0
150,250,617.0
200,10,240.0
200,50,314.0
200,75,362.0
200,100,407.0
200,150,498.0
200,200,585.0
200,250,670.0
250,10,292.0
250,50,367.0
250,75,415.0
250,100,460.0
250,150,550.0
250,200,638.0
250,250,722.0
